BirdID,BTO,RingYear,LastSeenYea,BTOcount
1382,N021938,1998,2001,1
1381,N021937,1998,2005,1
1380,N021936,1998,2003,1
1379,N021935,1998,1999,1
1378,N021934,1998,1999,1
1377,N021933,1998,1998,1
1376,N021932,1998,1999,1
1375,N021931,1998,1998,1
1374,N021930,1998,1999,1
1373,N021929,1998,1999,1
1372,N021928,1998,2002,1
1371,N021927,1998,2000,1
1370,N021926,1998,2004,1
1369,N021925,1998,2005,1
1368,N021924,1998,2007,1
1367,N021923,1998,2001,1
1366,N021922,1998,2001,1
1365,N021921,1998,1998,1
1364,N021920,1998,1999,1
1363,N021919,1998,1998,1
1362,N021918,1998,2003,1
1361,N021917,1998,2010,1
1360,N021916,1998,2002,1
1359,N021915,1998,2013,1
1358,N021914,1998,2005,1
1357,N021913,1998,2001,1
1356,N021912,1998,2009,1
1355,N021911,1998,2003,1
1354,N021910,1998,1999,1
1353,N021909,1998,1998,1
1352,N021908,1998,1999,1
1351,N021907,1998,2002,1
1180,N021731,1997,1998,1
1179,N021730,1997,2000,1
1178,N021729,1997,2000,1
1177,N021728,1997,2001,1
1176,N021727,1997,1998,1
1175,N021726,1997,1998,1
1174,N021725,1997,1997,1
1173,N021724,1997,2001,1
1172,N021723,1997,2010,1
1171,N021722,1997,2010,1
1170,N021721,1997,2008,1
1169,N021720,1997,1997,1
1168,N021719,1997,2001,1
1167,N021718,1997,2000,1
1166,N021717,1997,2004,1
1165,N021716,1997,2005,1
1164,N021715,1997,2000,1
1163,N021714,1997,1997,1
1162,N021713,1997,1998,1
1161,N021712,1997,2001,1
1160,N021711,1997,1999,1
1159,N021710,1997,1999,1
1158,N021709,1997,2002,1
1157,N021708,1997,1998,1
1156,N021707,1997,2001,1
1155,N021706,1997,2008,1
1154,N021705,1997,2000,1
1153,N021704,1997,1999,1
1152,N021702,1997,2002,1
1151,N021701,1997,1999,1
1147,K278400,2000,2000,1
1146,K278397,2000,2000,1
1145,K278385,1997,1997,1
1144,K278384,1997,1997,1
1143,K278383,1997,1997,1
1142,K278382,1997,1997,1
1141,K278381,1997,1997,1
1140,K278380,1997,1997,1
1139,K278379,1997,1997,1
1138,K278378,1997,1997,1
1137,K278377,1997,1997,1
1136,K278376,1997,1997,1
1135,K278375,1997,1999,1
1134,K278374,1997,2000,1
1133,K278373,1997,1997,1
1132,K278372,1997,1997,1
1131,K278371,1997,1997,1
1130,K278368,1997,2000,1
1129,K278366,1997,1997,1
1128,K278365,1997,1997,1
1127,K278364,1997,1999,1
1126,K278363,1997,1997,1
1125,K278362,1997,1997,1
1124,K278361,1997,1997,1
1123,K278360,1997,1997,1
1122,K278359,1997,1997,1
1121,K278358,1997,1998,1
1120,K278357,1997,1997,1
1119,K278356,1997,1997,1
1118,K278355,1997,1997,1
1117,K278354,1997,1997,1
1116,K278353,1997,2000,1
1115,K278352,1997,1997,1
1114,K278351,1997,1997,1
1113,K278350,1997,1997,1
1112,K278349,1997,1997,1
1111,K278348,1997,1997,1
1110,K278347,1997,1998,1
1063,K278300,1996,2000,1
1062,K278299,1996,1999,1
1061,K278298,1996,1998,1
1060,K278297,1996,1998,1
1059,K278296,1996,2004,1
1058,K278295,1996,1996,1
1057,K278294,1996,1996,1
1056,K278293,1996,1996,1
1055,K278292,1996,1996,1
1054,K278290,1996,1996,1
1053,K278289,1996,1996,1
1052,K278288,1996,1996,1
1051,K278287,1996,1998,1
1050,K278286,1996,1996,1
1049,K278285,1996,2003,1
1048,K278284,1996,1996,1
1047,K278283,1996,1999,1
1046,K278282,1996,1996,1
1045,K278281,1996,2001,1
1044,K278280,1996,1996,1
1043,K278279,1996,2010,1
1042,K278278,1996,2016,1
1041,K278277,1996,1999,1
1040,K278276,1996,2006,1
1039,K278275,1996,2001,1
1038,K278274,1996,1996,1
1037,K278273,1996,1999,1
1036,K278272,1996,1998,1
1035,K278271,1996,1996,1
1034,K278270,1996,1996,1
1033,K278269,1996,1997,1
1032,K278268,1996,2001,1
1031,K278267,1996,2010,1
1030,K278266,1996,1997,1
1029,K278265,1996,2010,1
1028,K278264,1996,2000,1
1027,K278263,1996,1996,1
1026,K278262,1996,1998,1
1025,K278261,1996,1996,1
1024,K278260,1996,2007,1
1023,K278259,1996,1996,1
1022,K278258,1996,2000,1
1021,K278257,1996,1996,1
1020,K278256,1996,2002,1
1019,K278255,1996,1999,1
1018,K278254,1996,2007,1
1017,K278253,1996,2004,1
1016,K278252,1996,1996,1
1015,K278251,1996,1996,1
1014,K278249,1995,1995,1
1013,K278248,1995,1998,1
1012,K278246,1997,1997,1
1011,K278243,1995,2002,1
1010,K278242,1995,1996,1
1008,K278240,1995,1999,1
1007,K278239,1995,1995,1
1006,K278238,1995,1999,1
1005,K278237,1995,1999,1
1004,K278236,1995,1999,1
1003,K278235,1995,1995,1
1002,K278200,1997,2000,1
1001,K278199,1997,1997,1
1000,K278198,1996,1997,1
999,K278197,1996,1997,1
998,K278196,1996,1996,1
997,K278195,1996,1996,1
996,K278194,1996,1996,1
995,K278193,1996,1997,1
994,K278192,1996,1997,1
993,K278191,1996,1999,1
992,K278190,1996,1999,1
991,K278189,1996,1999,1
990,K278188,1996,1997,1
989,K278187,1996,1999,1
988,K278186,1996,1999,1
987,K278185,1996,1999,1
986,K278184,1996,1999,1
985,K278183,1996,1996,1
984,K278182,1996,2005,1
983,K278181,1996,1996,1
982,K278180,1996,1999,1
981,K278179,1996,1999,1
980,K278178,1996,1999,1
979,K278177,1996,1998,1
978,K278174,1996,1996,1
977,K278173,1996,1998,1
976,K278172,1996,1999,1
975,K278169,1996,1996,1
974,K278167,1996,1996,1
973,K278166,1996,1996,1
972,K278165,1996,1997,1
971,K278162,1996,1996,1
970,K278160,1996,1996,1
969,K278159,1996,1996,1
968,K278158,1996,1996,1
967,K278157,1996,1996,1
966,K278156,1996,1996,1
965,K278155,1996,1996,1
964,K278154,1996,1997,1
963,K278153,1996,1996,1
962,K278152,1996,1999,1
780,J854489,1995,1995,1
779,J854488,1995,1997,1
778,J854487,1995,1996,1
777,J854486,1995,1997,1
776,J854485,1995,2000,1
775,J854484,1995,1997,1
774,J854483,1995,2002,1
773,J854482,1995,1997,1
772,J854481,1995,1995,1
771,J854480,1995,1997,1
769,J854478,1995,1998,1
768,J854477,1995,1998,1
767,J854476,1995,1995,1
766,J854475,1995,1998,1
765,J854474,1995,1995,1
764,J854473,1995,1998,1
763,J854472,1995,1995,1
762,J854471,1995,1995,1
761,J854470,1995,1998,1
760,J854469,1998,1999,1
759,J854468,1995,1995,1
758,J854467,1998,1998,1
757,J854466,1995,1996,1
756,J854465,1995,1997,1
755,J854464,1995,1997,1
754,J854463,1995,1997,1
753,J854462,1995,1995,1
752,J854461,1995,1995,1
751,J854460,1995,1995,1
750,J854459,1995,1995,1
749,J854458,1995,1995,1
748,J854457,1995,1995,1
747,J854456,1995,1995,1
746,J854455,1995,1995,1
745,J854454,1995,1995,1
744,J854453,1995,1995,1
743,J854452,1995,1995,1
742,J854451,1995,1995,1
741,J854450,1995,1995,1
740,J854449,1995,1997,1
739,J854448,1995,1995,1
738,J854447,1995,1995,1
737,J854446,1995,1995,1
736,J854445,1995,1995,1
735,J854444,1995,1995,1
734,J854443,1995,1995,1
733,J854442,1995,1995,1
732,J854441,1995,1995,1
731,J854440,1995,1995,1
730,J854439,1995,1995,1
729,J854438,1995,1995,1
728,J854437,1995,1995,1
727,J854436,1995,1995,1
726,J854435,1995,1997,1
725,J854434,1995,1995,1
724,J854433,1995,1995,1
723,J854432,1995,1995,1
722,J854431,1995,1995,1
721,J854430,1995,1995,1
720,J854429,1995,1996,1
719,J854428,1995,1995,1
718,J854427,1995,1995,1
717,J854426,1995,1995,1
716,J854425,1995,1995,1
715,J854424,1995,1995,1
714,J854423,1995,1995,1
713,J854422,1995,1995,1
712,J854421,1995,1995,1
711,J854420,1995,1995,1
710,J854419,1995,1995,1
709,J854418,1991,1997,1
708,J854417,1995,1995,1
707,J854416,1995,1995,1
706,J854415,1995,1995,1
705,J854414,1995,1995,1
704,J854413,1995,1995,1
703,J854412,1995,1995,1
702,J854411,1995,1995,1
701,J854410,1995,1996,1
700,J854409,1995,1996,1
699,J854408,1995,1996,1
698,J854407,1995,1995,1
697,J854406,1995,1995,1
696,J854405,1995,1995,1
695,J854404,1995,1995,1
694,J854403,1995,1995,1
693,J854402,1995,1995,1
692,J854401,1995,1995,1
691,J854400,1995,1995,1
690,J854399,1995,1995,1
689,J854398,1995,1995,1
688,J854397,1995,1995,1
687,J854396,1995,1995,1
686,J854395,1994,1995,1
685,J854394,1994,1994,1
684,J854393,1994,1994,1
683,J854392,1994,1994,1
682,J854391,1994,1997,1
681,J854390,1994,1995,1
680,J854389,1994,1995,1
679,J854388,1994,1998,1
678,J854387,1994,1995,1
677,J854386,1994,2001,1
676,J854385,1994,2001,1
675,J854384,1994,1998,1
674,J854383,1994,1999,1
673,J854382,1994,1996,1
672,J854381,1994,1999,1
671,J854380,1994,1995,1
670,J854379,1994,2002,1
669,J854378,1994,1994,1
668,J854377,1994,2002,1
667,J854376,1994,1995,1
666,J854375,1994,2004,1
665,J854374,1994,1998,1
664,J854373,1994,1995,1
663,J854372,1994,2000,1
662,J854371,1994,1998,1
661,J854370,1994,1997,1
660,J854369,1994,1995,1
659,J854368,1994,2008,1
658,J854367,1994,1996,1
657,J854366,1994,1997,1
656,J854365,1994,1998,1
655,J854364,1994,1997,1
653,J854362,1994,1998,1
652,J854361,1994,1998,1
651,J854360,1994,1994,1
650,J854359,1994,2008,1
649,J854358,1994,1998,1
647,J854356,1994,1994,1
646,J854355,1994,2009,1
644,J854353,1994,1998,1
643,J854352,1994,2009,1
642,J854351,1994,1995,1
641,J854350,1994,1998,1
640,J854349,1994,1999,1
639,J854348,1994,2002,1
638,J854347,1994,2002,1
637,J854346,1994,1998,1
636,J854345,1994,1998,1
635,J854344,1994,1998,1
634,J854343,1994,2004,1
633,J854342,1994,1997,1
632,J854341,1994,2000,1
631,J854340,1994,1995,1
630,J854339,1994,1996,1
629,J854338,1994,2000,1
628,J854337,1994,2004,1
627,J854336,1994,2000,1
626,J854335,1994,1994,1
625,J854334,1994,1994,1
624,J854333,1994,1999,1
623,J854331,1994,1994,1
622,J854330,1994,1994,1
621,J854329,1994,1995,1
620,J854328,1994,1999,1
619,J854327,1994,1995,1
618,J854326,1994,1994,1
617,J854324,1994,1997,1
616,J854323,1994,1999,1
615,J854322,1994,1997,1
614,J854321,1994,1999,1
613,J854320,1994,1997,1
612,J854319,1994,1999,1
611,J854318,1994,1999,1
610,J854317,1994,1995,1
609,J854316,1994,2005,1
608,J854315,1994,1998,1
607,J854314,1994,2001,1
606,J854313,1994,1998,1
605,J854312,1994,1999,1
604,J854311,1994,2000,1
603,J854310,1994,1995,1
602,J854309,1994,2001,1
601,J854308,1994,2004,1
600,J854307,1994,1995,1
599,J854306,1994,1999,1
598,J854305,1994,1994,1
597,J854304,1994,2001,1
